deutsch,englisch
hallo,hello
dÃ¼rfen,to be allowed to
neun,nine
Tag,day
wessen,whose
nichts,nothing
Kind,child
klein,small
bei einem VerhÃ¤ltnis von,at the rate of
Mann,man
sechs,six
alles,everything
oder,or
zehn,ten
drei,three
zwei,two
fÃ¼nf,five
reisen,to travel
wissen,to know
was,what
Mensch,human being
und,and
werden,to be
acht,eight
vier,four
groÃŸ,big
mehr,more
wÃ¼nschen,to wish
zu viel,too much
billig,cheap
Krankenhaus,hospital
Meinung,opinion
sich entschuldigen,to apologize
Unterschied,difference
Wirtschaft,economy
interessant,interesting
kÃ¤mpfen,to fight
sympathisch,sympathetic
Wolle,wool
Spanier,Spaniard
Eingang,entrance
verheiratet,married
je ... desto,the ... the
offen,open
Gute Nacht,good night
einladen,to invite
dreiÃŸig,thirty
folgen,to come after
lernen,to learn
Garage,garage
schwimmen,to swim
Kakao,cocoa
MÃ¤dchen,girl
Sommer,summer
Puder,cosmetic powder
Pfirsich,peach
Guten Morgen,good morning
entschuldigen,to excuse
April,April
Europa,Europe
Geduld,patience
schmal,narrow
worin,in which
Meister,maestro
Unterschrift,signature
kÃ¤mmen,to comb
kurz,brief
Sicherheit,safety
schuldig,guilty
Briefmarke,postage stamp
Januar,January
Liebe,love
arbeiten,to work
Lehrerin,female teacher
Dollar,dollar
Kamm,comb
Fabrik,factory
Wolke,cloud
Nacht,night
Million,million
Aufrichtigkeit,sincerity
Hoffnung,hope
Kellner,waiter
Oktober,October
Ziege,goat
Anstrengung,efforts
vergessen,to forget
System,system
Fisch,fish
Deutschland,Germany
ohne,without
Neuheit,newness
Schwierigkeit,difficulty
Braut,bride
Einfluss,influence
technisch,technical
neunzehn,nineteen
reparieren,to repair
gleichzeitig,simultaneous
glauben,to believe
Dienstag,Tuesday
Park,park
Tasche,pocket
entweder ... oder,either ... or ...
Deutsche,German woman
Kalbfleisch,veal
Richter,judge
tanzen,to dance
Bleistift,pencil
Belgierin,Belgian woman
lachen,to laugh
heute Nachmittag,this afternoon
Hemd,shirt
HÃ¶he,height
Nachmittag,afternoon
Reisende,traveller
Handtuch,towel
Halle,hall
Ã¤hnlich,similar
Freitag,Friday
kurz,short
behaupten,to assert
kreuzen,to cruise
tief,profound
danach,thereafter
Regel,regulation
Ausland,foreign country
Gefahr,peril
breit,widely
Hals,neck
Kohl,cabbage
heiÃŸen,to be called
Handel,commerce
neben,alongside
Quelle,source
Seife,soap
Kaninchen,rabbit
Spitze,lace
abhÃ¤ngen,to depend
Bart,beard
Interview,interview
Nichte,niece
Pfeife,whistle
Messer,knife
medizinisch,medical
teuer,costly
Apfel,apple
endlich,at last
Kilogramm,kilo
schneien,to snow
See,lake
versichern,to insure
Traum,dream
Rindfleisch,beef
lang,long
Polizei,police
rechts,on the right
Polen,Poland
rechter,righthand
MÃ¤rz,March
Rhein,Rhine
Vorname,Christian name
Suppe,soup
GrÃ¶ÃŸe,greatness
Serviette,napkin
Sieg,victory
Bewegung,movement
Enkelin,granddaughter
Schlaf,sleep
abschneiden,to cut off
falls,in case
BÃ¤cker,baker
heiÃŸ,hot
nirgends,nowhere
beide,both
lange,a long time
Minister,minister
Norwegen,Norway
Asien,Asia
Vogel,bird
DÃ¤nemark,Denmark
Herr,Mr.
Zeitung,gazette
BrÃ¼cke,bridge
Holland,Holland
Bremse,brake
Stirn,forehead
studieren,to study
Spielzeug,toy
Westen,west
Halbinsel,peninsula
Schlafwagen,sleeping-car
GroÃŸmutter,grandmother
elf,eleven
Schule,school
modern,modern
MÃ¼cke,gnat
tippen,to type
wahrscheinlich,probable
vÃ¶llig,completely
Mutter,mother
wahrscheinlich,likely
Tochter,daughter
Kaffee,coffee
zwanzig,twenty
Strand,beach
Wissenschaft,science
darin,to in it
Griechenland,Greece
Parlament,parliament
Sport,sport
Bericht,bulletin
Kuss,kiss
Baby,baby
November,November
bitte,please
Schwester,sister
manchmal,several times
Kette,chain
Frucht,fruit
Insekt,insect
politisch,political
Meter,metre
Flasche,bottle
trocken,dry
Berg,mountain
kochen,to cook
Mai,May
Arbeit,chore
Tal,valley
Klima,climate
Hut,hat
LandstraÃŸe,highway
Stil,style
Huhn,hen
Journalist,journalist
Ã–sterreich,Austria
MaÃŸ,measure
durstig,thirsty
Literatur,literature
Verwaltung,management
FrÃ¼hstÃ¼ck,breakfast
Wechsel,exchange
gleich,all the same
Musiker,musician
Schlafzimmer,bedroom
ein anderer,another man
Gruppe,group
einmal,one time
Belgien,Belgium
fÃ¼nfzig,fifty
erzÃ¤hlen,to narrate
Spaziergang,stroll
Chinesisch,Chinese language
lange,for a long time
auÃŸer,with the exception of
Melone,melon
Dach,roof
Traum,daydream
legen,to lay
evangelisch,evangelic
zentral,central
zwÃ¶lf,twelve
Sonntag,Sunday
TÃ¼r,door
Kirche,church
Reis,rice
Bushaltestelle,bus stop
Taschentuch,handkerchief
ElektrizitÃ¤t,electricity
enthalten,to contain
als,than
Band,ribbon
Nase,nose
Kino,movie theatre
Ã–l,oil
Russland,Russia
England,England
Land,countryside
wach,awake
verraten,to betray
Franzose,Frenchman
Geschmack,taste
Amerikanerin,American woman
froh,glad
mÃ¶glich,possible
Gefahr,danger
September,September
Finger,finger
Tante,aunt
Streik,strike
Schweinefleisch,pork
Onkel,uncle
Tomate,tomato
Guten Abend,good evening
Dame,dame
Buch,book
grau,grey
Tod,death
plÃ¶tzlich,sudden
Lampe,lamp
bitter,bitter
Ãœbung,exercise
Pulli,pullover sweater
Bruder,brother
Physik,physics
Olive,olive
Husten,cough
Bluse,blouse
Tatsache,fact
Auge,eye
Geburt,birth
KÃ¼che,kitchen
Lamm,lamb
MÃ¤rchen,fairy tale
Volk,folk
BrieftrÃ¤ger,postman
bekannt,well-known
Regenschirm,umbrella
besser,better
einsteigen,to get in
Schuh,shoe
kÃ¼ssen,to kiss
menschlich,human
Dieb,thief
Geburtstag,birthday
alt,aged
BrÃ¤utigam,fiancÃ©
Neffe,nephew
Ministerium,ministry
Abgeordneter,deputy
hinterlassen,to leave behind
Mittwoch,Wednesday
bedauern,to be sorry about
Kuh,cow
Norden,North
Amerikaner,US citizen
Ostern,Easter
Sandwich,sandwich
Museum,museum
KÃ¤se,cheese
verlieren,to lose
